wavs/1 (enhanced).wav|bienvenidos a un nuevo video para el canal. Piensa en el chupe. Okey no hahahahaha.
wavs/2 (enhanced).wav|Esta vez estamos en un video muy diferente. hahahahahahahaha.
wavs/3 (enhanced).wav|porque quiero contarles una historia muy triste a la vez, pero que me dejó grandes aprendizajes.
wavs/4 (enhanced).wav|Tiene que ver con la música, con seudo disqueras chafas, que lo único que hacen es que te la creas toda y les des tu dinero.
wavs/5 (enhanced).wav|Es que sí, así es, ¡así se tenía que decir! ¡lo siento! ¡Así se tenía que decir!
wavs/6 (enhanced).wav|Y yo voy a contarla hoy porque me sucedió a mí hace unos días, casi me la creía, pero afortunadamente no me la creí.
wavs/7 (enhanced).wav|Así que acompáñenme a ver esta triste historia.
wavs/8 (enhanced).wav|Regresé, ya estoy en mi estudio casero, estoy aquí en mi cama, en donde me duermo actualmente.
wavs/9 (enhanced).wav|Y suelo escuchar música y hablar con amigos cuando se me da la gana.
wavs/10 (enhanced).wav|O sea, no soy mucho de socializar porque es muy difícil que me llegue a relacionar con personas que no comparten los mismos intereses que yo.
wavs/11 (enhanced).wav|Obviamente, nunca voy a negarme a contestarles, eso sí, ¿no?
wavs/12 (enhanced).wav|Pero para que sepan que si alguna vez hablan conmigo escribo una verdadera mamarrachada, o sea, una verdadera babosada.
wavs/13 (enhanced).wav|O sea una tontería pues, para traducirlo bien, no se sorprenden.
wavs/14 (enhanced).wav|Yo soy muy tímido a veces y me cuesta demasiado trabajo hablar con persona.
wavs/15 (enhanced).wav|Ahora sí vamos a ir con esta triste historia y real a la vez. ¡No, no! ¡Neta! ¡Hay Dios!
wavs/16 (enhanced).wav|Todo comenzaba un día de la semana, creo que fue miércoles, estaba tranquilamente en mi casita, sin nada que hacer.
wavs/17 (enhanced).wav|Ya había terminado mis estudios, básicamente había terminado mi módulo, que me tocaba estudiar de la preparatoria en línea, era el módulo seis.
wavs/18 (enhanced).wav|No tenía nada que hacer, entonces estaba tan aburrido que se me ocurrió hacerle un remix a un video de tiktok.
wavs/19 (enhanced).wav|que me enseñó un primo que tengo al cual le mando saludos, y resulta que ese día estaba solo.
wavs/20 (enhanced).wav|Y no sé por qué, pero cuando estoy solo me inspiro más a crear vídeos.
wavs/21 (enhanced).wav|Algo de música, que se yo, ritmos con la batería que ahorita estoy usando un vi es ti.
wavs/22 (enhanced).wav|Básicamente, me llegó un correo que decía: queremos que estés en nuestro equipo, puedes enviarnos una demo, cosas de disqueras que yo aun no comprendo mucho.
wavs/23 (enhanced).wav|Otro dato random sobre mí: ahorita lo que escucharon ladrar fue un perro que se llama Wiki y es de Inglaterra.
wavs/24 (enhanced).wav|Quizá por eso sea tan fanático de Inglaterra, el país.
wavs/25 (enhanced).wav|Y quiera conocerlo y por eso sea fanático de la selección de Inglaterra, que perdió una final contra Italia.
wavs/26 (enhanced).wav|El caso es que abrí el correo en el que me mandaban todos los datos, de que querían ver qué tenía para ofrecerles en el equipo.
wavs/27 (enhanced).wav|Estaba en inglés, yo traduje algunas partes al translate. ¡Hohohoho!. ¡Uuu, esto está buenísimo, se los juro!
wavs/28 (enhanced).wav|Porque no sé muy bien el inglés, lo sé hablar y de hecho la pronunciación la tengo muy bien desarrollada, pero no sé hablarlo al cien por ciento.
wavs/29 (enhanced).wav|Sé algunas cosas y, por eso estoy aprendiendo en estos días. ¡Hihihihi!. ¡Es que me encanta esto, en serio!
wavs/30 (enhanced).wav|El caso es que abrí el correo, busqué la página para enviarles la demo.
wavs/31 (enhanced).wav|Les envié la demo, básicamente la página no tenía ciencia, tenías que poner tu first name, last name, tu correo de contacto, tu nombre de artista.
wavs/32 (enhanced).wav|Luego tenías que poner qué género era la canción, y luego te ponían unos cuadros de edición para que pusieras el nombre del track.
wavs/33 (enhanced).wav|Y si querías subir un i pi de varias canciones, podías subir varios, pero tenías que agregarle sus nombres.
wavs/34 (enhanced).wav|Yo básicamente en ese día que estaba creando el remix a un video de tiktok, envié la demo, y obviamente esa demo no estaba ecualizada.
wavs/35 (enhanced).wav|No tenía ningún proceso de ecualización, estaba grabado todo con Audacity.
wavs/36 (enhanced).wav|Que con Audacity puedes ecualizar, pero no me iba a tomar todo el tiempo del mundo ecualizando pista por pista y haciendo puros desastres.
wavs/37 (enhanced).wav|¿Qué pasó al final? ¡ah no! ¡pero qué sorpresa! después de subir la demo al servidor, a la página Web que la verdad es muy realista la neta, y todo era accesible la verdad.
wavs/38 (enhanced).wav|Después de mandar la demo, pues ya dije: no creo que me vayan a aceptar estos tipos.
wavs/39 (enhanced).wav|qué podría ofrecerles yo con una demo mal ecualizada, mal procesada, mal hecha, con muchas frecuencias altas.
wavs/40 (enhanced).wav|Siendo honestos, y diciendo la verdad, esa demo estaba más mal ecualizada que faded producida por gost producers de Alan Walker.
wavs/41 (enhanced).wav|Y lo siento por haber puesto ese ejemplo, pero faded si estaba hecha por gost producers. Lo siento si desilusioné a los fans de Alan Walker.
wavs/42 (enhanced).wav|No me vayan a matar en los comentarios por haber dicho las verdades. ¡Ufff! ¡Qué fuerte, ahora sí lo mataron!
wavs/43 (enhanced).wav|El final de esta historia es simple. Para terminar este video, porque no quiero tardarme años hablando.
wavs/44 (enhanced).wav|Al día siguiente de que me habían dicho que mi demo estaba en revisión, que en las próximas cuarenta y ocho horas iban a decirme el resultado de si me aceptaban o no.
